taxminalogy,cokey,cotaxfmminkey
mixed,14896856,11657791
smectitic,14896857,11657792
mixed,14896858,11657793
smectitic,14896860,11657794
smectitic,14896861,11657795
smectitic,14896862,11657796
smectitic,14896863,11657797
smectitic,14896865,11657798
mixed,14896869,11657802
smectitic,14896870,11657803
smectitic,14896871,11657804
smectitic,14896872,11657805
mixed,14896873,11657806
smectitic,14896875,11657807
smectitic,14896876,11657808
smectitic,14896877,11657809
smectitic,14896878,11657810
smectitic,14896879,11657811
smectitic,14896880,11657812
smectitic,14896881,11657813
mixed,14896889,11657820
mixed,14896890,11657821
mixed,14896891,11657822
not used,14896892,11657823
mixed,14896893,11657824
mixed,14896897,11657826
mixed,14896899,11657828
mixed,14896900,11657829
mixed,14896902,11657830
mixed,14896903,11657831
mixed,14896904,11657832
mixed,14896905,11657833
kaolinitic,14896907,11657835
kaolinitic,14896908,11657836
mixed,14896914,11657844
mixed,14896915,11657845
mixed,14896916,11657846
mixed,14896920,11657849
mixed,14896921,11657850
smectitic,14896922,11657851
mixed,14896928,11657857
smectitic,14896929,11657858
mixed,14896930,11657859
mixed,14896947,11657875
mixed,14896948,11657876
mixed,14896949,11657877
mixed,14896950,11657878
mixed,14896955,11657883
mixed,14896956,11657884
mixed,14896985,11657907
mixed,14896986,11657908
not used,14896987,11657909
mixed,14897000,11657922
not used,14897001,11657923
not used,14897002,11657924
mixed,14897003,11657925
mixed,14897005,11657926
mixed,14897006,11657927
mixed,14897008,11657928
mixed,14897009,11657929
mixed,14897011,11657930
mixed,14897012,11657931
mixed,14897013,11657932
mixed,14897015,11657934
mixed,14897017,11657935
mixed,14897018,11657936
mixed,14897019,11657937
mixed,14897021,11657938
mixed,14897022,11657939
smectitic,14897023,11657940
smectitic,14897024,11657941
smectitic,14897025,11657942
smectitic,14897026,11657943
smectitic,14897027,11657944
smectitic,14897028,11657945
mixed,14897032,11657949
mixed,14897033,11657950
smectitic,14897036,11657953
smectitic,14897037,11657954
smectitic,14897038,11657955
mixed,14897039,11657956
smectitic,14897040,11657957
smectitic,14897041,11657958
mixed,14897042,11657959
mixed,14897043,11657960
mixed,14897050,11657966
mixed,14897051,11657967
mixed,14897052,11657968
mixed,14897053,11657969
mixed,14897054,11657970
mixed,14897056,11657971
smectitic,14897057,11657972
mixed,14897058,11657973
smectitic,14897059,11657974
mixed,14897060,11657975
smectitic,14897061,11657976
mixed,14897062,11657977
mixed,14897066,11657981
smectitic,14897067,11657982
not used,14897070,11657985
not used,14897071,11657986
mixed,14897072,11657987
mixed,14897073,11657988
mixed,14897074,11657989
smectitic,14897079,11657993
smectitic,14897080,11657994
mixed,14897081,11657995
smectitic,14897082,11657996
mixed,14897090,11658004
smectitic,14897091,11658005
mixed,14897092,11658006
smectitic,14897093,11658007
smectitic,14897102,11658016
smectitic,14897103,11658017
smectitic,14897104,11658018
smectitic,14897112,11658026
smectitic,14897114,11658027
mixed,14897115,11658028
mixed,14897123,11658036
mixed,14897152,11658061
mixed,14897153,11658062
mixed,14897156,11658064
mixed,14897157,11658065
not used,14897158,11658066
not used,14897159,11658067
mixed,14897160,11658068
mixed,14897161,11658069
smectitic,14897165,11658073
smectitic,14897166,11658074
mixed,14897167,11658075
smectitic,14897168,11658076
smectitic,14897169,11658077
mixed,14897172,11658080
smectitic,14897180,11658087
smectitic,14897181,11658088
smectitic,14897182,11658089
smectitic,14897183,11658090
smectitic,14897184,11658091
smectitic,14897185,11658092
smectitic,14897186,11658093
smectitic,14897187,11658094
smectitic,14897188,11658095
smectitic,14897190,11658096
smectitic,14897191,11658097
smectitic,14897192,11658098
mixed,14897193,11658099
mixed,14897197,11658103
mixed,14897198,11658104
mixed,14897199,11658105
mixed,14897200,11658106
smectitic,14897201,11658107
smectitic,14897203,11658108
mixed,14897204,11658109
smectitic,14897205,11658110
smectitic,14897206,11658111
mixed,14897221,11658126
mixed,14897222,11658127
mixed,14897223,11658128
not used,14897229,11658133
not used,14897230,11658134
