ltabphyname,rtabphyname,relationshipname,ltabcolphyname,rtabcolphyname
chorizon,chaashto,default,chkey,chkey
chorizon,chconsistence,default,chkey,chkey
chorizon,chdesgnsuffix,default,chkey,chkey
chorizon,chfrags,default,chkey,chkey
chorizon,chpores,default,chkey,chkey
chorizon,chstructgrp,default,chkey,chkey
chorizon,chtext,default,chkey,chkey
chorizon,chtexturegrp,default,chkey,chkey
chorizon,chunified,default,chkey,chkey
chstructgrp,chstruct,default,chstructgrpkey,chstructgrpkey
chtexture,chtexturemod,default,chtkey,chtkey
chtexturegrp,chtexture,default,chtgkey,chtgkey
coforprod,coforprodo,default,cofprodkey,cofprodkey
cogeomordesc,cosurfmorphgc,default,cogeomdkey,cogeomdkey
cogeomordesc,cosurfmorphhpp,default,cogeomdkey,cogeomdkey
cogeomordesc,cosurfmorphmr,default,cogeomdkey,cogeomdkey
cogeomordesc,cosurfmorphss,default,cogeomdkey,cogeomdkey
comonth,cosoilmoist,default,comonthkey,comonthkey
comonth,cosoiltemp,default,comonthkey,comonthkey
component,chorizon,default,cokey,cokey
component,cocanopycover,default,cokey,cokey
component,cocropyld,default,cokey,cokey
component,codiagfeatures,default,cokey,cokey
component,coecoclass,default,cokey,cokey
component,coeplants,default,cokey,cokey
component,coerosionacc,default,cokey,cokey
component,coforprod,default,cokey,cokey
component,cogeomordesc,default,cokey,cokey
component,cohydriccriteria,default,cokey,cokey
component,cointerp,default,cokey,cokey
component,comonth,default,cokey,cokey
component,copmgrp,default,cokey,cokey
component,copwindbreak,default,cokey,cokey
component,corestrictions,default,cokey,cokey
component,cosurffrags,default,cokey,cokey
component,cotaxfmmin,default,cokey,cokey
component,cotaxmoistcl,default,cokey,cokey
component,cotext,default,cokey,cokey
component,cotreestomng,default,cokey,cokey
component,cotxfmother,default,cokey,cokey
copmgrp,copm,default,copmgrpkey,copmgrpkey
distmd,distinterpmd,default,distmdkey,distmdkey
distmd,distlegendmd,default,distmdkey,distmdkey
laoverlap,muaoverlap,default,lareaovkey,lareaovkey
legend,laoverlap,default,lkey,lkey
legend,legendtext,default,lkey,lkey
legend,mapunit,default,lkey,lkey
mapunit,component,default,mukey,mukey
mapunit,muaggatt,default,mukey,mukey
mapunit,muaoverlap,default,mukey,mukey
mapunit,mucropyld,default,mukey,mukey
mapunit,mutext,default,mukey,mukey
mdstatdommas,mdstatdomdet,default,domainname,domainname
mdstatdommas,mdstattabcols,default,domainname,domainname
mdstatidxmas,mdstatidxdet,default,idxphyname,idxphyname
mdstatidxmas,mdstatidxdet,default,tabphyname,tabphyname
mdstatrshipmas,mdstatrshipdet,default,ltabphyname,ltabphyname
mdstatrshipmas,mdstatrshipdet,default,relationshipname,relationshipname
mdstatrshipmas,mdstatrshipdet,default,rtabphyname,rtabphyname
mdstattabs,mdstatidxmas,default,tabphyname,tabphyname
mdstattabs,mdstatrshipmas,left_table,tabphyname,ltabphyname
mdstattabs,mdstatrshipmas,right_table,tabphyname,rtabphyname
mdstattabs,mdstattabcols,default,tabphyname,tabphyname
sacatalog,sainterp,default,sacatalogkey,sacatalogkey
sdvattribute,sdvfolderattribute,default,attributekey,attributekey
sdvfolder,sdvfolderattribute,default,folderkey,folderkey
