soimoistdept.l,soimoistdept.r,soimoistdept.h,soimoistdepb.l,soimoistdepb.r,soimoistdepb.h,soimoiststat,comonthkey,cosoilmoistkey
0,0,0,0,31,61,,155979497,95743545
0,31,61,183,183,183,Wet,155979497,95743546
0,0,0,0,31,61,,155979499,95743547
0,31,61,183,183,183,Wet,155979499,95743548
0,0,0,0,31,61,,155979500,95743549
0,31,61,183,183,183,Wet,155979500,95743550
0,0,0,0,31,61,,155979501,95743551
0,31,61,183,183,183,Wet,155979501,95743552
0,0,0,0,31,61,,155979502,95743553
0,31,61,183,183,183,Wet,155979502,95743554
0,0,0,0,31,61,,155979503,95743555
0,31,61,183,183,183,Wet,155979503,95743556
0,0,0,0,31,61,,155979504,95743557
0,31,61,183,183,183,Wet,155979504,95743558
0,0,0,0,31,61,,155979505,95743559
0,31,61,183,183,183,Wet,155979505,95743560
0,0,0,0,31,61,,155979506,95743561
0,31,61,183,183,183,Wet,155979506,95743562
0,0,0,0,31,61,,164802373,101952807
0,31,61,183,183,183,Wet,164802373,101952808
0,0,0,0,31,61,,164802377,101952809
0,31,61,183,183,183,Wet,164802377,101952810
0,0,0,0,31,61,,164802378,101952811
0,31,61,183,183,183,Wet,164802378,101952812
0,0,0,0,31,61,,164802380,101952813
0,31,61,183,183,183,Wet,164802380,101952814
0,0,0,0,31,61,,164802733,101952831
0,31,61,183,183,183,Wet,164802733,101952832
0,0,0,0,31,61,,164802737,101952833
0,31,61,183,183,183,Wet,164802737,101952834
0,0,0,0,31,61,,164802738,101952835
0,31,61,183,183,183,Wet,164802738,101952836
0,0,0,0,31,61,,164802740,101952837
0,31,61,183,183,183,Wet,164802740,101952838
