taxmoistcl,cokey,cotaxmckey
Ustic,14875503,5129577
Ustic,14875535,5129597
Ustic,14875536,5129598
Aridic (torric),14875537,5129599
Ustic,14875541,5129601
Ustic,14875542,5129602
Aridic (torric),14875543,5129603
Ustic,14875544,5129604
Ustic,14875545,5129605
Ustic,14875546,5129606
Ustic,14875551,5129607
Ustic,14875554,5129608
Ustic,14875556,5129609
Aridic (torric),14875557,5129610
Ustic,14875564,5129612
Ustic,14875567,5129613
Aridic (torric),14875589,5129618
Ustic,14875596,5129619
Ustic,14875597,5129620
Ustic,14875598,5129621
Aridic (torric),14875608,5129624
Ustic,14875638,5129627
Ustic,14875641,5129628
Ustic,14875644,5129629
Aridic (torric),14875648,5129630
Aridic (torric),14875651,5129631
Aridic (torric),14875658,5129636
Aridic (torric),14875665,5129641
Aridic (torric),14875668,5129642
Aridic (torric),14875673,5129644
Aridic (torric),14875674,5129645
Ustic,14875684,5129649
Aridic (torric),14875697,5129657
Aridic (torric),14875698,5129658
Aridic (torric),14875727,5129662
Aridic (torric),14875730,5129663
Aridic (torric),14875732,5129664
Aridic (torric),14875733,5129665
Ustic,14875744,5129668
Ustic,14875750,5129670
Ustic,14875753,5129671
Aridic (torric),14875759,5129674
Aridic (torric),14875760,5129675
Ustic,14875763,5129676
Ustic,14875767,5129677
Ustic,14875770,5129678
Ustic,14875771,5129679
Aridic (torric),14875802,5129689
Ustic,14875805,5129690
Ustic,14875808,5129691
Ustic,14875811,5129692
Ustic,14875812,5129693
Ustic,14875813,5129694
Aridic (torric),14875852,5129726
Aridic (torric),14875853,5129727
Aridic (torric),14875854,5129728
Aridic (torric),14875858,5129732
Aridic (torric),14875859,5129733
Aridic (torric),14875860,5129734
Aridic (torric),14875861,5129735
Aridic (torric),14875862,5129736
Aridic (torric),14875863,5129737
Aridic (torric),14875864,5129738
Aridic (torric),14875865,5129739
Aridic (torric),14875866,5129740
Aridic (torric),14875867,5129741
Aridic (torric),14875868,5129742
Ustic,15697360,5584329
Ustic,15697362,5584330
Ustic,15697372,5584336
Ustic,15697381,5584339
Ustic,15697385,5584342
Ustic,15697388,5584343
Udic,15697391,5584344
Ustic,15697392,5584345
Udic,15697393,5584346
Ustic,15697397,5584349
Ustic,15697399,5584350
Udic,15697400,5584351
Ustic,15697426,5584369
Udic,15697428,5584370
Ustic,15697429,5584371
Udic,15697435,5584375
Udic,15697436,5584376
Udic,15697437,5584377
Ustic,15697451,5584383
Ustic,15697452,5584384
Ustic,15697455,5584385
Ustic,15697456,5584386
Ustic,15697457,5584387
Aquic,15697468,5584394
Ustic,15697474,5584399
Ustic,15697477,5584400
Ustic,15697484,5584403
Ustic,15697485,5584404
Udic,15697495,5584409
Ustic,15697497,5584410
Ustic,15697498,5584411
Ustic,15697505,5584412
Ustic,15697524,5584421
Ustic,15697527,5584422
