cropname,yldunits,nonirryield.l,nonirryield.r,nonirryield.h,irryield.l,irryield.r,irryield.h,mukey,mucrpyldkey
Alfalfa hay,Tons,NA,NA,NA,NA,5.5,NA,95357,11884559
Corn,Bu,NA,NA,NA,NA,145,NA,95357,11884560
Grain sorghum,Bu,NA,20,NA,NA,95,NA,95357,11884561
Oats,Bu,NA,22,NA,NA,75,NA,95357,11884562
Wheat,Bu,NA,24,NA,NA,70,NA,95357,11884563
Alfalfa hay,Tons,NA,NA,NA,NA,4,NA,95378,11884582
Barley,Bu,NA,25,NA,NA,60,NA,95378,11884583
Corn,Bu,NA,22,NA,NA,125,NA,95378,11884584
Grain sorghum,Bu,NA,22,NA,NA,75,NA,95378,11884585
Wheat,Bu,NA,24,NA,NA,55,NA,95378,11884586
Alfalfa hay,Tons,NA,NA,NA,NA,3,NA,95405,11884625
Barley,Bu,NA,17,NA,NA,45,NA,95405,11884626
Wheat,Bu,NA,20,NA,NA,45,NA,95405,11884627
Alfalfa hay,Tons,NA,NA,NA,NA,4,NA,95408,11884628
Barley,Bu,NA,NA,NA,NA,70,NA,95408,11884629
Corn,Bu,NA,NA,NA,NA,100,NA,95408,11884630
Grain sorghum,Bu,NA,20,NA,NA,80,NA,95408,11884631
Grass hay,Tons,NA,NA,NA,NA,3,NA,95408,11884632
Wheat,Bu,NA,18,NA,NA,55,NA,95408,11884633
Alfalfa hay,Tons,NA,NA,NA,NA,3,NA,95418,11884634
Corn,Bu,NA,NA,NA,NA,70,NA,95418,11884635
Corn silage,Tons,NA,NA,NA,NA,25,NA,95418,11884636
Alfalfa hay,Tons,NA,NA,NA,NA,6,NA,95421,11884643
Corn,Bu,NA,NA,NA,NA,140,NA,95421,11884644
Corn silage,Tons,NA,NA,NA,NA,23,NA,95421,11884645
Grain sorghum,Bu,NA,NA,NA,NA,105,NA,95421,11884646
Wheat,Bu,NA,23,NA,NA,60,NA,95421,11884647
Alfalfa hay,Tons,NA,NA,NA,NA,5.5,NA,95442,11884659
Wheat,Bu,NA,25,NA,NA,55,NA,95442,11884660
Alfalfa hay,Tons,NA,NA,NA,NA,3,NA,95444,11884667
Barley,Bu,NA,NA,NA,NA,50,NA,95444,11884668
Corn,Bu,NA,NA,NA,NA,65,NA,95444,11884669
Pasture,AUM,NA,0.6,NA,NA,3,NA,95444,11884670
Alfalfa hay,Tons,NA,NA,NA,NA,5,NA,95445,11884671
Corn,Bu,NA,NA,NA,NA,130,NA,95445,11884672
Grain sorghum,Bu,NA,25,NA,NA,110,NA,95445,11884673
Sorghum silage,Tons,NA,NA,NA,NA,24,NA,95445,11884674
Sugar beets,Tons,NA,NA,NA,NA,20,NA,95445,11884675
Winter wheat,Bu,NA,22,NA,NA,50,NA,95445,11884676
Wheat,Bu,NA,20,NA,NA,NA,NA,95448,11884679
Wheat,Bu,NA,15,NA,NA,NA,NA,95449,11884680
Wheat,Bu,NA,15,NA,NA,NA,NA,95450,11884681
Alfalfa hay,Tons,NA,NA,NA,NA,3.5,NA,95461,11884687
Grain sorghum,Bu,NA,NA,NA,NA,80,NA,95461,11884688
Alfalfa hay,Tons,NA,NA,NA,NA,4,NA,95462,11884689
Barley,Bu,NA,16,NA,NA,50,NA,95462,11884690
Grain sorghum,Bu,NA,20,NA,NA,90,NA,95462,11884691
Wheat,Bu,NA,20,NA,NA,60,NA,95462,11884692
Grass hay,Tons,NA,NA,NA,NA,3,NA,497333,12348268
